study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
France.post.PCV13,16F,1212,842076,2,3,1
France.post.PCV13,17F,1212,842076,2,8,3
France.post.PCV13,19A,1212,842076,2,8,16
France.post.PCV13,19F,1212,842076,2,6,7
France.post.PCV13,2,1212,842076,2,0,1
France.post.PCV13,20,1212,842076,2,1,0
France.post.PCV13,21,1212,842076,2,3,3
France.post.PCV13,22F,1212,842076,2,6,9
France.post.PCV13,23A,1212,842076,2,9,4
France.post.PCV13,23B,1212,842076,2,15,2
France.post.PCV13,24A,1212,842076,2,1,1
France.post.PCV13,24F,1212,842076,2,6,36
France.post.PCV13,25A,1212,842076,2,1,0
France.post.PCV13,29,1212,842076,2,1,1
France.post.PCV13,3,1212,842076,2,1,5
France.post.PCV13,31,1212,842076,2,2,1
France.post.PCV13,33F,1212,842076,2,3,6
France.post.PCV13,34,1212,842076,2,1,0
France.post.PCV13,35B,1212,842076,2,7,4
France.post.PCV13,35F,1212,842076,2,4,2
France.post.PCV13,38,1212,842076,2,0,5
France.post.PCV13,4,1212,842076,2,0,1
France.post.PCV13,6A,1212,842076,2,0,1
France.post.PCV13,6B,1212,842076,2,2,0
France.post.PCV13,6C,1212,842076,2,6,1
France.post.PCV13,7C,1212,842076,2,0,1
France.post.PCV13,7F,1212,842076,2,1,0
France.post.PCV13,9N,1212,842076,2,1,0
Atlanta.post.PCV7,11A,451,298831,1,10,0
Atlanta.post.PCV7,12F,451,298831,1,0,1
Atlanta.post.PCV7,13,451,298831,1,0,1
Atlanta.post.PCV7,15A,451,298831,1,4,0
Atlanta.post.PCV7,15B/C,451,298831,1,8,3
Atlanta.post.PCV7,19A,451,298831,1,29,23
Atlanta.post.PCV7,19F,451,298831,1,1,0
Atlanta.post.PCV7,21,451,298831,1,3,2
Atlanta.post.PCV7,22F,451,298831,1,0,2
Atlanta.post.PCV7,23A,451,298831,1,10,0
Atlanta.post.PCV7,23B,451,298831,1,10,1
Atlanta.post.PCV7,3,451,298831,1,0,1
Atlanta.post.PCV7,33F,451,298831,1,5,6
Atlanta.post.PCV7,35B,451,298831,1,14,1
Atlanta.post.PCV7,38,451,298831,1,0,2
Atlanta.post.PCV7,6C,451,298831,1,23,0
Atlanta.post.PCV7,7F,451,298831,1,0,4
Atlanta.pre.PCV,11A,231,204680,1,5,0
Atlanta.pre.PCV,14,231,204680,1,3,67
Atlanta.pre.PCV,18C,231,204680,1,0,4
Atlanta.pre.PCV,19A,231,204680,1,8,9
Atlanta.pre.PCV,19F,231,204680,1,11,30
Atlanta.pre.PCV,23F,231,204680,1,17,23
Atlanta.pre.PCV,4,231,204680,1,0,10
Atlanta.pre.PCV,6A,231,204680,1,15,15
Atlanta.pre.PCV,6B,231,204680,1,17,24
Atlanta.pre.PCV,9V,231,204680,1,6,10
Ontario.pre.PCV,11A,1139,580507,1,26,0
Ontario.pre.PCV,14,1139,580507,1,30,36
Ontario.pre.PCV,19A,1139,580507,1,16,2
